name,trim_name,trim,category,tier,deprec_5yr,deprec_source,price,price_year,observed_price,observed_price_odometer,price_source,msrp_source,msrp_trim,msrp_year,msrp,mpg,fuel,tire_class,heavy,gvwr_note,odds_250k,odds_study,quality,longevity,reliability,comfort,db55,db_measured,transmission,engine,longevity_source,risk,complaint_severity_share,complaint_n,complaint_years
GMC Acadia,,unspecified,3-row crossover,2,0.51,2025 segment,30000,,,,,,,,,25,Gas,Crossover,false,Verify,n/a,not available,77.5,63.5,33.0,79.6,53.4,true,Conventional automatic,Naturally aspirated V6,estimated from build quality (no study data),"Same GM 3.6L timing chain ($2,786-$3,639 RepairPal); water pump $1,101-$1,530.",0.7350,566,2019|2021|2023
Honda Passport,,unspecified,Mid-size crossover,1,0.463,iSeeCars 2025,33000,,,,,,,,,21,Gas,Crossover,false,Verify,n/a,not available,89.2,73.1,89.4,35.2,58.2,true,9-speed (Honda calibration),Naturally aspirated V6,estimated from build quality (no study data),3.5L NA V6 robust. 9-speed ZF shift quality is the only soft spot.,0.6091,440,2019|2021|2023
Toyota Grand Highlander Hybrid,,unspecified,3-row crossover,1,0.38,estimate,45000,,,,,,,,,32,Hybrid,Crossover,false,Verify,n/a,not available,100.0,82.0,100,100,51.2,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),Regular hybrid (2.5L + eCVT) is the proven pick. Avoid the 2.4T Hybrid Max until data exists.,,,
Toyota Highlander (gas),,unspecified,3-row crossover,1,0.421,iSeeCars 2025,37000,,,,,,,,,28.5,Gas,Crossover,false,Verify,12.7%,2025 (base 4.8%),95.5,69.3,100,87.0,52.6,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2025 (base 4.8%),Pre-2023 3.5L V6 bulletproof. 2023+ 2.4T turbo is new - prefer the older V6.,0.6004,1131,2019|2021|2023
Toyota Highlander Hybrid,,unspecified,3-row crossover,1,0.38,iSeeCars 2025,36000,2023,39596,40000,"Edmunds/CarGurus, 879 listed 2023 examples",KBB/Edmunds,"XLE (base; Limited 53,270)",2026,48815,34,Hybrid,Crossover,false,Verify,31.0%,2025 (base 4.8%),100.0,91.6,100,87.0,52.6,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),iSeeCars 2025 (base 4.8%),"#3 overall and top hybrid for longevity. eCVT is a planetary power-split, not a belt CVT.",0.2333,30,2019|2021|2023
Kia Telluride,,unspecified,3-row crossover,2,0.51,2025 segment,34000,,,,,,,,,25,Gas,Crossover,false,"No (5,776-5,917)",n/a,not available,77.5,63.5,68.2,75.0,53.9,true,Conventional automatic,Naturally aspirated V6,estimated from build quality (no study data),3.8L Lambda GDI oil consumption from 60-75k. 2024 valve-spring recall. NOT Sec. 179 eligible.,0.4234,548,2021|2023
Hyundai Palisade,,unspecified,3-row crossover,2,0.51,2025 segment,33000,,,,,,,,,25,Gas,Crossover,false,"No (5,700-5,900)",n/a,not available,77.5,63.5,66.7,70.4,54.4,true,Conventional automatic,Naturally aspirated V6,estimated from build quality (no study data),Same 3.8L oil consumption. Complaint rate 31.7/10k vs Telluride's 23.3. NOT Sec. 179 eligible.,0.4272,810,2021|2023
Mazda CX-9,,unspecified,3-row crossover,2,0.51,2025 segment,28000,,,,,,,,,25.5,Gas,Crossover,false,Verify,n/a,not available,70.5,57.8,65.2,55.6,56.0,false,Conventional automatic,Turbocharged four,estimated from build quality (no study data),2.5T + 6-speed CONVENTIONAL auto. No CVT. Discontinued after 2023.,0.6733,101,2019|2021|2023
Mazda CX-90,,unspecified,3-row crossover,3,0.51,estimate,40000,,,,,,,,,27.5,Gas,Crossover,false,Verify,n/a,not available,53.5,43.9,49.2,42.6,57.4,true,Conventional automatic,Turbocharged inline-6,estimated from build quality (no study data),New 3.3T inline-6 + 8-speed. Early transmission complaints. Too new.,,,
Subaru Ascent,,unspecified,3-row crossover,2,0.51,2025 segment,28000,,,,,,,,,23.5,Gas,Crossover,false,Verify,n/a,not available,56.5,46.3,87.5,41.7,57.5,true,Subaru Lineartronic CVT,Turbocharged four,estimated from build quality (no study data),CVT. Acceptable ONLY with documented fluid changes every 30-60k. 2.4T turbo adds risk.,0.6390,579,2019|2021|2023
Nissan Pathfinder (2022+),,unspecified,3-row crossover,2,0.51,2025 segment,29000,,,,,,,,,24,Gas,Crossover,false,Verify,n/a,not available,77.5,63.5,80.4,52.8,56.3,true,Conventional automatic,Naturally aspirated V6,estimated from build quality (no study data),2022+ dropped the CVT for a conventional 9-speed. AVOID 2013-2020 (Jatco CVT).,0.5886,175,2019|2021|2023
Volkswagen Atlas,,unspecified,3-row crossover,2,0.51,2025 segment,30000,,,,,,,,,24,Gas,Crossover,false,Verify,n/a,not available,77.5,63.5,49.6,75.0,53.9,true,Conventional automatic,Naturally aspirated V6,estimated from build quality (no study data),8-speed conventional is fine. VR6 timing chain; 2.0T carbon buildup and water pump.,0.5254,1045,2019|2021|2023
Dodge Durango,,unspecified,3-row crossover,2,0.51,2025 segment,33000,,,,,,,,,23,Gas,Crossover,true,Yes,n/a,not available,79.2,64.9,25.4,50.9,56.5,true,ZF 8HP 8-speed,Naturally aspirated V6,estimated from build quality (no study data),3.6L V6 + ZF 8HP durable. V8 carries Hemi lifter/cam tick risk.,0.4972,360,2019|2021|2023
Subaru Outback,,unspecified,Mid-size crossover,2,0.51,2025 segment,26000,,,,,,,,,29,Gas,Crossover,false,No,22.3%,2023 (base 11.8%),60.9,60.9,95.5,49.1,56.7,true,Subaru Lineartronic CVT,NA boxer four,iSeeCars 2023 (base 11.8%),CVT secondary pulley bearing noise past 100k. Change fluid 30-60k.,0.4122,1412,2019|2021|2023
Subaru Forester,,unspecified,Compact crossover,2,0.379,iSeeCars 2025,25000,,,,,,,,,31,Gas,Crossover,false,No,n/a,not available,60.9,49.9,95.5,40.7,57.6,true,Subaru Lineartronic CVT,NA boxer four,estimated from build quality (no study data),CVT. NA boxer (no turbo post-2018) is a plus. 2014-2018 FB25 oil consumption.,0.3186,1111,2019|2021|2023
Mazda CX-5,,unspecified,Compact crossover,1,0.51,2025 segment,25000,,,,,,,,,30,Gas,Crossover,false,No,n/a,not available,94.1,77.2,65.2,65.7,54.9,true,Conventional automatic,Naturally aspirated I4,estimated from build quality (no study data),"2.5L NA + 6-speed conventional. No CVT, no turbo on base. RepairPal #1 midsize, $447/yr.",0.6874,467,2019|2021|2023
Nissan Rogue,,unspecified,Compact crossover,3,0.51,2025 segment,23000,,,,,,,,,30,Gas,Crossover,false,No,n/a,not available,30.1,24.7,56.4,75.9,53.8,true,Jatco CVT,Naturally aspirated I4,estimated from build quality (no study data),Jatco CVT. $277.7M class settlement (Stringer v. Nissan). Avoid 2013-2018 entirely.,0.6211,1288,2019|2021|2023
Hyundai Tucson,,unspecified,Compact crossover,2,0.51,2025 segment,22000,,,,,,,,,29,Gas,Crossover,false,No,n/a,not available,76.1,62.4,64.7,60.2,55.5,true,Conventional automatic,Naturally aspirated I4,estimated from build quality (no study data),2.5L NA + conventional 8-speed. Older Theta II GDI oil/knock issues.,0.7972,577,2019|2021|2023
Hyundai Santa Fe,,unspecified,Mid-size crossover,2,0.51,2025 segment,25000,,,,,,,,,27,Gas,Crossover,false,Verify,n/a,not available,60.0,49.2,64.7,33.3,58.4,true,Dual-clutch (wet DCT),Turbocharged four,estimated from build quality (no study data),2.5T uses a wet DCT - clutch wear is the risk. Older 2.4 Theta oil consumption.,0.5786,560,2019|2021|2023
Kia Sportage,,unspecified,Compact crossover,2,0.51,2025 segment,21000,,,,,,,,,29,Gas,Crossover,false,No,n/a,not available,76.1,62.4,66.2,70.4,54.4,true,Conventional automatic,Naturally aspirated I4,estimated from build quality (no study data),2.5L NA + 8-speed. Theta II issues on older units.,0.6238,303,2019|2021|2023
Kia Sorento,,unspecified,3-row crossover,2,0.51,2025 segment,25000,,,,,,,,,27,Gas,Crossover,false,Verify,n/a,not available,60.0,49.2,66.2,71.3,54.3,true,Dual-clutch (wet DCT),Turbocharged four,estimated from build quality (no study data),2.5T + 8-speed DCT. Older 3.3 V6 was more robust.,0.6355,535,2019|2021|2023
Ford Edge,,unspecified,Mid-size crossover,2,0.51,2025 segment,25000,,,,,,,,,27,Gas,Crossover,false,Verify,n/a,not available,70.5,57.8,62.7,72.2,54.2,true,Conventional automatic,Turbocharged four,estimated from build quality (no study data),2.0T water pump coolant intrusion is the known killer. Discontinued 2024.,0.7859,864,2019|2021|2023
Chevrolet Equinox,,unspecified,Compact crossover,2,0.51,2025 segment,19000,,,,,,,,,29,Gas,Crossover,false,No,n/a,not available,70.5,57.8,53.6,34.3,58.3,true,Conventional automatic,Turbocharged four,estimated from build quality (no study data),"1.5L turbo under sustained load; carbon buildup, timing chain.",0.6695,475,2019|2021|2023
Toyota Venza,,unspecified,Compact crossover,1,0.38,estimate (nameplate discontinued 2024),28000,2023,33223,40000,"Cars.com nationwide avg, 2023",,,,,38,Hybrid,Crossover,false,No,n/a,not available,100.0,82.0,100,57.4,55.8,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),"DISCONTINUED after the 2024 model year; replaced by the Crown Signia. Toyota cited overlap with the Signia, not weak demand. A dead nameplate narrows the used supply and the parts/service network over a 180k cycle, which the resale multiplier does not model. RAV4 Hybrid mechanicals, eCVT. Discontinued 2024. Best MPG on this list.",0.2228,202,2021|2023
Honda HR-V,,unspecified,Subcompact crossover,2,0.34,iSeeCars 2025,20000,,,,,,,,,31,Gas,Crossover,false,No,n/a,not available,63.9,52.4,89.4,47.2,56.9,true,Honda CVT,Naturally aspirated I4,estimated from build quality (no study data),Honda CVT - better record than Nissan's but still a CVT. Underpowered for highway work.,0.2850,965,2019|2021|2023
Lexus RX 350,,unspecified,Luxury mid crossover,1,0.427,iSeeCars 2025,46000,,,,,,,,,29,Gas,Crossover,false,Verify,10.7%,2025 (base 4.8%),95.5,65.0,90.9,75.0,53.9,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2025 (base 4.8%),Pre-2023 3.5L V6 is bulletproof. 2023+ 2.4T turbo is unproven.,0.2636,129,2021|2023
Lexus RX Hybrid,,unspecified,Luxury mid crossover,1,0.427,iSeeCars 2025,48000,,,,,,,,,35,Hybrid,Crossover,false,Verify,17.0%,2025 (base 4.8%),100.0,76.6,90.9,83.3,53.0,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),iSeeCars 2025 (base 4.8%),#2 longest-lasting hybrid in the 2025 study. Toyota HSD.,,,
Lexus NX Hybrid,,unspecified,Luxury mid crossover,1,0.427,estimate,38000,,,,,,,,,34,Hybrid,Crossover,false,Verify,n/a,not available,100.0,82.0,90.9,54.6,56.1,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),Toyota HSD in a smaller package.,,,
Toyota RAV4 Hybrid,,unspecified,Compact crossover,1,0.311,iSeeCars 2025,30000,,,,,,,,,35,Hybrid,Crossover,false,No,n/a,not available,100.0,82.0,100,51.9,56.4,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),Fewest major issues of anything here. eCVT.,0.3529,51,2019|2021|2023
Toyota RAV4 (gas),,unspecified,Compact crossover,1,0.309,iSeeCars 2025,27000,,,,,,,,,28,Gas,Crossover,false,No,18%,2023 (base 11.8%),94.1,55.6,100,38.9,57.8,true,Conventional automatic,Naturally aspirated I4,iSeeCars 2023 (base 11.8%),NA four + conventional 8-speed. Very durable.,0.4383,1401,2019|2021|2023
Honda CR-V,,unspecified,Compact crossover,1,0.352,iSeeCars 2025,26000,,,,,,,,,29,Gas,Crossover,false,No,27.5%,2023 (base 11.8%),94.1,66.2,81.4,37.0,58.0,true,Conventional automatic,Naturally aspirated I4,iSeeCars 2023 (base 11.8%),Avoid the 1.5T in 2017-2019 (oil dilution). NA engine is the safer buy.,0.6422,1906,2019|2021|2023
Honda CR-V Hybrid,,unspecified,Compact crossover,1,0.413,iSeeCars 2025,30000,,,,,,,,,36,Hybrid,Crossover,false,No,n/a,not available,100.0,82.0,89.4,24.1,59.4,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),"Two-motor hybrid, no conventional transmission to fail.",0.6641,527,2021|2023
Honda Pilot,,unspecified,3-row crossover,1,0.441,iSeeCars 2025,30000,,,,,,,,,23,Gas,Crossover,false,Verify,42.7%,2023 (base 11.8%),89.2,77.2,89.4,25.7,58.9,true,9-speed (Honda calibration),Naturally aspirated V6,iSeeCars 2023 (base 11.8%),"J35 V6 strong. 4WD ~6,096 lb is over the line; some 2WD/Elite ~5,952 under. Check the sticker.",0.5993,1425,2019|2021|2023
Ford Escape Hybrid,,unspecified,Compact crossover,2,0.523,iSeeCars 2025,24000,,,,,,,,,38.5,Hybrid,Crossover,false,No,n/a,not available,82.0,67.2,72.7,28.7,58.9,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),Shares the Maverick Hybrid powertrain. Steep depreciation is the tradeoff.,0.2500,4,2021
Hyundai Santa Fe Hybrid,,unspecified,Mid-size crossover,2,0.51,2025 segment,28000,,,,,,,,,33,Hybrid,Crossover,false,Verify,n/a,not available,70.5,57.8,72.7,55.6,56.0,true,Conventional automatic,Turbocharged four,estimated from build quality (no study data),"1.6T hybrid + 6-speed AUTOMATIC (not CVT, not DCT). That's a durability plus.",0.7000,20,2021
Kia Sorento Hybrid,,unspecified,3-row crossover,2,0.51,2025 segment,28000,,,,,,,,,34,Hybrid,Crossover,false,Verify,n/a,not available,70.5,57.8,74.2,71.3,54.3,true,Conventional automatic,Turbocharged four,estimated from build quality (no study data),1.6T hybrid + 6-speed automatic.,0.6667,21,2021
Toyota Sienna Hybrid,,unspecified,Minivan,1,0.38,estimate,38000,,,,,,,,,35.5,Hybrid,Crossover,false,Verify,23.3%,2023 (base 11.8%),100.0,62.0,100,52.8,56.3,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),iSeeCars 2023 (base 11.8%),Hybrid-only since 2021. Genuinely one of the best high-mileage vehicles made.,0.4300,100,2021|2023
Toyota Crown Signia,,unspecified,Mid-size crossover,2,0.38,estimate,45000,,,,,,,,,37,Hybrid,Crossover,false,No,n/a,not available,82.0,67.2,100,71.3,54.3,true,eCVT (planetary power-split),Hybrid (Toyota-style HSD),estimated from build quality (no study data),"Launched MY2025 - too new for field data, but shares proven RX350h/Highlander Hybrid internals.",,,
Toyota Tacoma (pre-2024 V6),,unspecified,Midsize truck,1,0.26,iSeeCars 2026,34000,,,,,,,,,21,Gas,Truck,true,Some configs,41.7%,2023 (base 11.8%),95.5,76.6,100,22.1,58.1,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2023 (base 11.8%),Third-lowest depreciation of any vehicle. NA V6 - avoid the 2024+ turbo four until data exists.,0.6569,341,2019|2021|2023
Toyota Tacoma Hybrid (i-Force Max),,unspecified,Midsize truck,3,0.26,estimate,45000,,,,,,,,,23,Hybrid,Truck,true,Yes,n/a,not available,52.5,43.0,85.0,24.1,58.1,true,Conventional automatic,Turbocharged four,estimated from build quality (no study data),2024+ turbo-4 hybrid. No 150k+ field data. Wait or buy in warranty.,,,
Toyota 4Runner,,unspecified,Body-on-frame SUV,1,0.255,iSeeCars 2026,38000,,,,,,,,,19,Gas,Truck,true,Yes (some),32.9%,2025 (base 4.8%),95.5,93.1,100,34.4,57.1,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2025 (base 4.8%),4.0L V6 + 5-speed auto will outlive you. Thirsty.,0.5391,128,2019|2021|2023
Toyota Tundra (2007-2021 5.7 V8),,unspecified,Full-size truck,1,0.291,iSeeCars 2026,42000,,,,,,,,,17.5,Gas,Truck,true,Yes,30.0%,2025 (base 4.8%),95.5,90.8,100,53.3,55.6,true,Conventional automatic,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),The 5.7L V8 years are the sweet spot. 2022+ twin-turbo V6 is unproven.,0.6883,478,2019|2021|2023
Chevrolet Silverado 1500,,unspecified,Full-size truck,1,0.415,iSeeCars 2025,33000,,,,,,,,,19,Gas,Truck,true,Yes,31.0%,2023 (base 11.8%),90.2,69.1,45.6,43.1,56.7,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2023 (base 11.8%),"5.3L V8 proven. Parts everywhere, any Indy shop can service it. Watch AFM lifters.",0.8609,2192,2019|2021|2023
GMC Sierra 1500,,unspecified,Full-size truck,1,0.416,iSeeCars 2025,35000,,,,,,,,,19,Gas,Truck,true,Yes,18.3%,2023 (base 11.8%),90.2,56.0,29.0,56.0,55.3,true,GM 10L80 10-speed,Naturally aspirated V8,iSeeCars 2023 (base 11.8%),"Same truck as Silverado, same math, small badge premium.",0.8421,1583,2019|2021|2023
Ford F-150,,unspecified,Full-size truck,2,0.434,iSeeCars 2025,32000,,,,,,,,,18.5,Gas,Truck,true,Yes,19.2%,2023 (base 11.8%),58.2,57.2,60.7,56.0,55.3,true,Ford 10R80 10-speed,Naturally aspirated V8,iSeeCars 2023 (base 11.8%),5.0 V8 over the 3.5 EcoBoost. 10R80 10-speed is the known weak point.,0.9615,26,2019
Ford F-150 Hybrid (PowerBoost),,unspecified,Full-size truck,2,0.434,estimate,42000,,,,,,,,,24,Hybrid,Truck,true,Yes,n/a,not available,50.2,41.2,54.7,82.9,52.4,true,Ford 10R80 10-speed,Twin-turbo V6,estimated from build quality (no study data),"Twin-turbo V6 hybrid + 10R80. Two risk factors stacked, but real MPG gain.",,,
Ram 1500,,unspecified,Full-size truck,2,0.428,iSeeCars 2025,37000,,,,,,,,,20,Gas,Truck,true,Yes,3.5%,2025 (base 4.8%),79.2,37.1,21.4,66.2,54.2,true,ZF 8HP 8-speed,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),ZF 8HP transmission is excellent. 5.7 Hemi MDS lifter/cam tick is the risk - avoid heavy-idle units.,0.7358,2123,2019|2021
Ford Ranger,,unspecified,Midsize truck,2,0.347,iSeeCars 2025,32000,,,,,,,,,25,Gas,Truck,true,Yes,14.1%,2023 (base 11.8%),51.2,49.5,60.7,22.7,58.9,true,Ford 10R80 10-speed,Turbocharged four,iSeeCars 2023 (base 11.8%),2.3L turbo AND the 10R80. Both risk factors present.,0.6856,264,2019
Chevrolet Colorado,,unspecified,Midsize truck,2,0.409,iSeeCars 2025,29000,,,,,,,,,25,Gas,Truck,true,Yes,7.0%,2025 (base 4.8%),77.5,54.4,63.6,36.6,57.4,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2025 (base 4.8%),Pre-2023 3.6L V6 is the durable pick. 2023+ is 2.7T turbo only.,0.7233,347,2019|2021|2023
GMC Canyon,,unspecified,Midsize truck,2,0.381,iSeeCars 2025,30000,,,,,,,,,25,Gas,Truck,true,Yes,8.4%,2025 (base 4.8%),77.5,59.0,47.0,23.6,58.8,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2025 (base 4.8%),Same as Colorado.,0.6506,83,2019|2021|2023
Nissan Frontier (2022+),,unspecified,Midsize truck,1,0.383,iSeeCars 2025,29000,,,,,,,,,22,Gas,Truck,true,Yes,5.0%,2025 (base 4.8%),95.5,46.0,86.4,57.9,55.1,true,Conventional automatic,Naturally aspirated V6,iSeeCars 2025 (base 4.8%),3.8L NA V6 + 9-speed CONVENTIONAL auto. No CVT anywhere in this truck.,0.6071,28,2019
Nissan Titan,,unspecified,Full-size truck,2,0.481,iSeeCars 2025,30000,,,,,,,,,19,Gas,Truck,true,Yes,9.9%,2025 (base 4.8%),77.5,63.1,86.4,43.1,56.7,true,Conventional automatic,Naturally aspirated V8,iSeeCars 2025 (base 4.8%),"5.6L Endurance V8 + 7-speed, solid. Discontinued after 2024. Weak resale.",0.6889,45,2019
